size,heapSort,quickSort,mergeSort,shellSort,countSort,radixSort,bucketSort
290000,3314.0861988067627,1108.7913513183594,1627.079725265503,3350.3501415252686,482.2514057159424,872.0839023590088,528.846263885498
300000,3518.1210041046143,1116.2595748901367,1541.7327880859375,3297.3504066467285,442.95430183410645,805.6762218475342,499.861478805542
310000,3451.1964321136475,1122.6780414581299,1608.3712577819824,3556.6093921661377,460.42323112487793,855.8709621429443,526.0593891143799
320000,3554.8524856567383,1166.461706161499,1680.1788806915283,4614.730358123779,494.8999881744385,933.5646629333496,561.4714622497559
330000,4073.4193325042725,1373.3398914337158,1713.9763832092285,4084.012031555176,454.6980857849121,874.7913837432861,534.4808101654053
340000,3709.2947959899902,1197.138786315918,1708.601951599121,4189.345359802246,459.86294746398926,906.8489074707031,546.6461181640625
350000,3814.621686935425,1214.559555053711,1731.0049533843994,3930.816173553467,467.3619270324707,920.3541278839111,568.3093070983887
360000,3933.479070663452,1263.7898921966553,1762.556552886963,4261.584997177124,473.2851982116699,960.8891010284424,609.595537185669
370000,4060.558319091797,1327.2998332977295,1857.722520828247,4006.2882900238037,496.1719512939453,980.7982444763184,603.7383079528809
380000,4188.669681549072,1366.459846496582,1909.0962409973145,4149.2414474487305,490.5259609222412,1011.1734867095947,631.3879489898682
390000,4340.398550033569,1397.3069190979004,1944.2765712738037,4386.767387390137,501.4810562133789,1038.6598110198975,635.0207328796387
400000,4483.918905258179,1390.4926776885986,2013.5729312896729,4742.337703704834,501.4016628265381,1096.4550971984863,669.6774959564209
410000,4589.458465576172,1426.0451793670654,2104.04372215271,5036.568403244019,521.6915607452393,1107.0101261138916,664.8931503295898
420000,4675.931930541992,1495.4185485839844,2145.0247764587402,4896.878242492676,530.5469036102295,1128.438949584961,689.5384788513184
430000,4850.223541259766,1526.9458293914795,2154.665231704712,4986.797332763672,539.3402576446533,1159.4603061676025,744.4031238555908
440000,4951.991319656372,1581.9816589355469,2230.245351791382,5326.038122177124,548.1445789337158,1190.3533935546875,724.8737812042236
450000,5094.978094100952,1586.832046508789,2318.13383102417,5089.816331863403,547.4436283111572,1213.6571407318115,768.5134410858154
460000,5244.899749755859,1663.0280017852783,2332.5979709625244,6077.210187911987,564.033031463623,1250.9071826934814,754.0369033813477
470000,5416.995525360107,1717.8797721862793,2394.5231437683105,5645.327568054199,574.2731094360352,1311.4597797393799,808.3229064941406
480000,5514.277935028076,1823.509693145752,2469.0446853637695,6677.119016647339,656.4748287200928,1706.34126663208,1058.126449584961
490000,6803.158521652222,1921.722173690796,2573.2672214508057,5861.991405487061,583.71901512146,1340.8713340759277,826.9228935241699
500000,5904.081106185913,1859.222650527954,2726.0425090789795,6553.210735321045,595.0314998626709,1383.4564685821533,906.3475131988525
510000,6398.169040679932,1936.7668628692627,2760.3886127471924,6104.470729827881,651.9744396209717,1498.811960220337,940.481424331665
520000,6837.949275970459,2330.2886486053467,2947.42751121521,6915.180206298828,701.0977268218994,1657.594919204712,942.1465396881104
530000,6377.973794937134,2088.608741760254,2976.526975631714,7537.81795501709,625.1559257507324,1456.8979740142822,910.1693630218506
540000,6638.634443283081,2036.0052585601807,2969.6595668792725,7115.539073944092,655.6837558746338,1564.5253658294678,984.9698543548584
550000,6614.545583724976,2014.589786529541,2946.9783306121826,6995.3930377960205,743.7577247619629,1596.5337753295898,964.7643566131592
560000,6871.281862258911,2101.163864135742,3218.0685997009277,8332.675457000732,731.8739891052246,1730.5502891540527,1082.5657844543457
570000,7592.050313949585,2256.5040588378906,3463.5910987854004,7679.045915603638,690.2999877929688,1859.4954013824463,1248.668909072876
580000,7431.618213653564,2339.0138149261475,3232.4507236480713,7828.145980834961,657.2489738464355,1599.761962890625,996.3717460632324
590000,6976.229429244995,2156.9771766662598,3062.763214111328,11667.857885360718,684.8371028900146,1647.4366188049316,1010.8435153961182
600000,7197.22843170166,2301.579236984253,3162.317991256714,7697.177410125732,729.034423828125,1799.2656230926514,1040.5547618865967
610000,7147.406816482544,2237.9820346832275,3211.048126220703,7724.2372035980225,705.2257061004639,1686.0888004302979,1048.4232902526855
620000,7371.546268463135,2338.568687438965,3273.728609085083,7481.209754943848,831.3407897949219,1801.4607429504395,1133.8224411010742
630000,7561.1412525177,2344.0170288085938,3318.0770874023438,7795.315980911255,697.2675323486328,1880.6915283203125,1160.2742671966553
640000,8125.756025314331,2671.91743850708,4036.038637161255,11732.24949836731,822.8411674499512,2004.3091773986816,1195.0032711029053
650000,8257.152795791626,2573.8086700439453,4029.3984413146973,9142.63892173767,743.5548305511475,1978.4016609191895,1153.623342514038
660000,7852.753639221191,2516.584634780884,3678.884744644165,9467.3330783844,741.1072254180908,1839.6289348602295,1122.3738193511963
670000,7994.349718093872,2515.5317783355713,3577.739953994751,8689.067125320435,917.067289352417,1995.5503940582275,1377.1910667419434
680000,8949.039459228516,2610.2652549743652,4041.9318675994873,9581.207036972046,752.0468235015869,1955.305814743042,1197.8085041046143
690000,8718.427896499634,2639.7013664245605,4067.3859119415283,10145.996809005737,752.5570392608643,1923.1457710266113,1210.2291584014893
700000,8344.950675964355,2670.7353591918945,3878.3011436462402,9491.299867630005,760.7436180114746,1965.6343460083008,1227.747917175293
710000,8472.578048706055,2735.576391220093,3781.1224460601807,9022.94635772705,813.077449798584,2062.9048347473145,1297.1479892730713
720000,8808.984756469727,2824.9011039733887,3908.6904525756836,10541.365623474121,926.9778728485107,2094.831943511963,1303.1935691833496
730000,9158.955097198486,2809.7147941589355,3916.6250228881836,9671.61750793457,819.488525390625,2345.5798625946045,1332.0777416229248
740000,9042.036771774292,2917.1199798583984,4439.047813415527,10029.089450836182,820.2636241912842,2093.601703643799,1333.2812786102295
750000,9284.493446350098,2891.2885189056396,4021.03590965271,10403.443336486816,805.9399127960205,2092.4131870269775,1323.2307434082031
760000,9552.045106887817,2906.878709793091,4173.589706420898,10410.53819656372,808.9313507080078,2118.7593936920166,1351.5210151672363
770000,9288.156509399414,2983.830451965332,4130.262851715088,9640.478372573853,843.3043956756592,2156.371831893921,1368.99995803833
780000,9521.780490875244,3024.0509510040283,4369.865417480469,11021.573543548584,901.5073776245117,2491.5037155151367,1501.9025802612305
790000,9734.220027923584,3109.5221042633057,4328.409433364868,12474.936485290527,874.1898536682129,2332.267999649048,1445.1804161071777
800000,10075.50048828125,3164.790153503418,4435.16206741333,12554.957628250122,885.4320049285889,2378.3493041992188,1479.9060821533203
810000,10571.906328201294,3314.86177444458,4691.746711730957,13036.46731376648,937.1795654296875,2521.4080810546875,1547.3718643188477
820000,10631.56509399414,3209.1386318206787,4742.99693107605,14211.160898208618,928.7545680999756,2418.607711791992,1536.2966060638428
830000,10859.102964401245,3670.053005218506,5258.954286575317,12266.030550003052,955.7468891143799,2535.7918739318848,1592.1356678009033
840000,11151.187419891357,3687.17098236084,5401.418209075928,13182.49535560608,1021.5446949005127,2676.7919063568115,1702.906847000122
850000,11941.1780834198,3807.560920715332,5157.41753578186,13727.011919021606,962.3754024505615,2689.45050239563,1752.5219917297363
860000,11994.249820709229,3642.771005630493,5226.006507873535,12869.421243667603,919.9357032775879,2495.9771633148193,1652.0793437957764
870000,11620.493173599243,3620.52845954895,5079.226493835449,12320.507764816284,956.9392204284668,2608.279228210449,1682.023525238037
880000,11626.508235931396,3970.393419265747,5073.140621185303,13921.129941940308,951.1630535125732,2543.538808822632,1641.7584419250488
890000,12141.912460327148,3702.526807785034,5258.5015296936035,13575.273275375366,920.7272529602051,2530.1239490509033,1634.7439289093018
900000,11073.056936264038,3456.6073417663574,5545.252323150635,13363.284826278687,1144.1552639007568,2914.8006439208984,1815.8931732177734
910000,13044.996500015259,4376.914262771606,5651.436567306519,15049.418926239014,1060.3907108306885,2855.7112216949463,1863.8322353363037
920000,12983.057260513306,4134.0651512146,5662.43052482605,15554.401159286499,1052.682876586914,2861.043691635132,1832.8344821929932
930000,13157.68313407898,4428.145885467529,6190.73748588562,15272.397518157959,1171.9985008239746,3034.564971923828,1961.65132522583
940000,12974.769830703735,3795.281410217285,5417.583227157593,13970.915794372559,1149.5728492736816,2775.4509449005127,1869.0099716186523
950000,12826.157331466675,4356.013536453247,5649.029970169067,13962.572574615479,1057.4839115142822,2964.404821395874,1948.124885559082
960000,13002.21872329712,3821.218252182007,5831.146240234375,16051.839828491211,998.4283447265625,3038.0139350891113,1749.1545677185059
970000,12975.884675979614,3994.373559951782,5729.652881622314,14504.356622695923,1138.8945579528809,2886.568069458008,1865.9138679504395
980000,13269.91057395935,4265.46311378479,5795.494794845581,15555.929899215698,1197.4694728851318,2911.703586578369,1901.477575302124
990000,13266.994714736938,4101.588249206543,5938.202142715454,14972.015380859375,1060.5676174163818,2898.660659790039,1900.4619121551514
1000000,13925.344705581665,4596.287250518799,6323.211431503296,16850.618839263916,1130.039930343628,3265.010356903076,2148.874521255493
